# packages in environment at /soft/applications/conda/2026-09-17/mconda3:
#
# Name                                      Version                           Build                  Channel
pkginfo                                     1.12.1.2                          pyhd8ed1ab_0           conda-forge
platformdirs                                4.11.6                            pyh5ded981_0           conda-forge
plotext                                     6.1.0                             pypi_0                 pypi
pluggy                                      1.6.0                             pyhf9edf01_1           conda-forge
portpicker                                  1.6.0                             pypi_0                 pypi
prometheus-client                           0.26.0                            pypi_0                 pypi
prometheus-fastapi-instrumentator           8.1.0                             pypi_0                 pypi
promise                                     2.3                               pypi_0                 pypi
prompt-toolkit                              3.0.53                            pypi_0                 pypi
propcache                                   0.5.4                             pypi_0                 pypi
proto-plus                                  1.28.4                            pypi_0                 pypi
protobuf                                    6.33.6                            pypi_0                 pypi
psutil                                      7.2.2                             pypi_0                 pypi
pthread-stubs                               0.4                               h7cc23a3_1004          conda-forge
ptyprocess                                  0.7.0                             pypi_0                 pypi
pure-eval                                   0.2.4                             pypi_0                 pypi
py-cpuinfo                                  9.0.0                             pypi_0                 pypi
py-lief                                     1.0.0                             py313h553f6f3_5        conda-forge
py-rattler                                  0.25.0                            py310hefeb9ab_5        conda-forge
py-rattler-build                            0.72.2                            py311h30674b1_1        conda-forge
py-spy                                      0.4.2                             pypi_0                 pypi
py4j                                        0.10.9.9                          pypi_0                 pypi
pyarrow                                     25.0.1                            pypi_0                 pypi
pyasn1                                      0.6.4                             pypi_0                 pypi
pyasn1-modules                              0.4.2                             pypi_0                 pypi
pybase64                                    1.5.0                             pypi_0                 pypi
pybind11                                    3.1.0                             pypi_0                 pypi
pybind11-abi                                11                                hc364b38_1             conda-forge
pycosat                                     0.6.6                             py313h995f894_5        conda-forge
